,,,,Blue,Basecamp,Basecamp,Asana,Asana,Asana,Asana,Asana,ClickUp,ClickUp,ClickUp,ClickUp,Monday,Monday,Monday,Monday,Monday,Trello,Trello,Trello,Trello,Airtable,Airtable,Airtable,Airtable,Notion,Notion,Notion,Notion,Wrike,Wrike,Wrike,Wrike,Wrike,Jira,Jira,Jira,Jira,Microsoft Projects,Microsoft Projects,Microsoft Projects,Microsoft Projects,Smartsheet,Smartsheet,Smartsheet,Zoho Projects,Zoho Projects,Zoho Projects
Category,Feature,Feature Emoji,Feature Description,Standard,Standard,Pro,Personal,Starter,Advanced,Enterprise,Enterprise+,Free,Unlimited,Business,Enterprise,Free,Basic,Standard,Pro,Enterprise,Free,Standard,Premium ,Enterprise,Free ,Team,Business,Enterprise,Free,Plus,Business,Enteprrise,Free,Team,Business,Enterprise,Pinnacle,Free,Standard,Premium,Enterprise,Included,Plan 1,Plan 3,Plan 5,Pro,Business,Enterprise,Free,Premium,Enterprise
,Logo,,,/blue-icon.svg,/resources/basecamp-icon.svg,/resources/basecamp-icon.svg,/resources/asana-icon.svg,/resources/asana-icon.svg,/resources/asana-icon.svg,/resources/asana-icon.svg,/resources/asana-icon.svg,/resources/clickup-icon.svg,/resources/clickup-icon.svg,/resources/clickup-icon.svg,/resources/clickup-icon.svg,/resources/monday-icon.svg,/resources/monday-icon.svg,/resources/monday-icon.svg,/resources/monday-icon.svg,/resources/monday-icon.svg,/resources/trello-icon.svg,/resources/trello-icon.svg,/resources/trello-icon.svg,/resources/trello-icon.svg,/resources/airtable-icon.svg,/resources/airtable-icon.svg,/resources/airtable-icon.svg,/resources/airtable-icon.svg,/resources/notion-icon.svg,/resources/notion-icon.svg,/resources/notion-icon.svg,/resources/notion-icon.svg,/resources/wrike-icon.svg,/resources/wrike-icon.svg,/resources/wrike-icon.svg,/resources/wrike-icon.svg,/resources/wrike-icon.svg,/resources/jira-icon.svg,/resources/jira-icon.svg,/resources/jira-icon.svg,/resources/jira-icon.svg,/resources/msprojects-icon.svg,/resources/msprojects-icon.svg,/resources/msprojects-icon.svg,/resources/msprojects-icon.svg,/resources/smartsheet-icon.svg,/resources/smartsheet-icon.svg,/resources/smartsheet-icon.svg,/resources/zoho-icon.svg,/resources/zoho-icon.svg,/resources/zoho-icon.svg
Main Info,Price/User (Monthly),💰,The monthly cost per individual user of the software,$7,$15,N/A,Free,$13.49,$30.49,$49.99,,Free,$10,$19,$35,Free,$9,$12,$19,,Free,$6,$12.50,$17.50,Free ,$24,$54,-,Free,$12,$18,-,Free,$9.80,$24.80,-,-,Free,$8,$16,-,-,$10,$30,$55,$12,$24,-,Free,$5,$10
Main Info,Price/User (Yearly),📅,The total annual cost per individual user of the software,$70,N/A,N/A,Free,$131.88,$299.88,$588,,Free,$84,$144,,Free,$27,$36,$57,,Free,$60,$120,$210,Free ,$20,$45,-,Free,$10,$15,-,Free,-,-,-,-,Free,-,-,-,-,-,-,-,$9,$19,,Free,$4,$9
Main Info,Fixed Price,💲,Whether the plan offers a set monthly price regardless of user count,❌,❌,$349,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,,,,,,,,,,,,
Main Info,Minimum Users,👤,The smallest number of users required for a subscription,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,1,1,1,,,,,,1,3,-,,,
Main Info,Maximum Users,👥,The upper limit on the number of users allowed in the plan,Unlimited,Unlimited,Unlimited,10,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,2,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,25,200,Unlimited,Unlimited,10,"50,000","50,000","50,000",,,,,10,,,,,
Main Info,Number of Projects,📁,The maximum number of projects allowed in the plan,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,-,-,-,-,-,Unlimited,Unlimited,Unlimited,Unlimited,,,,,,,,2,Unlimited,Unlimited
Main Info,Number of Tasks per Project,✅,The limit on how many tasks can be created within a single project,"1,000,000",-,-,-,-,-,-,-,-,-,-,-,200,-,-,-,-,Unlimited,Unlimited,Unlimited,Unlimited,"1,000","50,000","125,000","500,000",Unlimited,Unlimited,Unlimited,Unlimited,-,-,-,-,-,Unlimited,Unlimited,Unlimited,Unlimited,,,,,,,,,,
Views,Kanban View,📌,Visual board for managing work in progress,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
